ticker,status,error,forecast_completed,evaluation_completed,forecast_revenue,forecast_cogs,forecast_sga,forecast_net_income,forecast_ebit,forecast_cash,forecast_equity,forecast_total_assets,avg_smape,median_smape,is_avg_smape,is_median_smape,bs_avg_smape,bs_median_smape,actual_revenue,actual_net_income,actual_equity
XOM,evaluated,,True,True,280985970549.9467,210346790832.13144,8327232816.203675,28149447145.68048,40637545654.86038,52849796395.61932,223299035771.44296,382546782616.66046,32.11717023937945,17.889705018026813,16.853222083178732,17.889705018026813,42.80193394871996,24.184706917476657,339247000000.0,33680000000.0,263705000000.0
FAST,evaluated,,True,True,7732000242.099533,4201572320.430908,1921554717.3595393,1033085960.3691119,1427568743.0161886,232906155.6313211,3301378093.9600587,4617756709.231823,14.758283410473151,3.447067754896298,9.177878345069919,3.3105620667013778,18.664566956255413,3.7842271807495167,7546000000.0,1150600000.0,3616300000.0
PSA,evaluated,,True,True,4880135694.400242,1240043528.8485885,87100952.3253876,,3380264713.226266,,,,35.231903360008005,16.293230110222893,43.11283079382677,12.029256440147469,27.35097592618925,16.293230110222893,4695616000.0,2072011000.0,9712606000.0
MO,evaluated,,True,True,20317672273.781902,6162095707.656612,2712392401.3921113,7261415405.240077,11163741378.663527,3652860208.816705,-4408584594.759923,42409874137.567535,21.391072263815957,14.654828533400183,9.087101346416175,1.3905554738554364,30.003851905995806,20.00619578280262,20444000000.0,11264000000.0,-2238000000.0
CHRW,evaluated,,True,True,12537535240.230154,11726083722.91801,444791994.2841583,138073366.56874603,273812984.772656,,1455978108.8475182,,36.67095957211561,33.33140141129062,42.62903286002678,34.28284022350299,31.457645445193332,28.20914210815648,17724956000.0,465690000.0,1722051000.0
SHW,evaluated,,True,True,23991714875.682316,12795012313.026833,7359281269.047222,1983718758.7617023,3115536444.0820203,288085002.8669596,4961983706.04154,23388465054.485207,14.435827353925987,6.699354796276291,9.53646510834034,6.608383248918015,17.86538092583594,6.97492801321316,23098500000.0,2681400000.0,4051200000.0
BKR,evaluated,,True,True,30750427112.87578,24419740499.149178,3147861883.153715,907847886.3779207,2011030107.390867,3190058423.142371,14332847886.37792,40911966651.41182,33.55079731157626,16.409405623752452,38.262814783991836,10.475356465206122,30.252385080885354,16.745584759963084,27829000000.0,2979000000.0,16895000000.0
BK,evaluated,,True,True,18894732731.99061,11336839639.194365,7377243543.803287,-5699722415.025034,-1400850451.007043,,33149278367.44758,,71.76090525223528,19.05468375147826,92.69350261912807,72.95156270582444,56.061457227065674,19.05468375147826,18258000000.0,4530000000.0,41318000000.0
VTR,evaluated,,True,True,4899370826.679451,2789901419.5853767,1656860365.0662491,,,,,,10.75553801086265,2.5752694664065636,5.473585886053746,2.8542810907440006,14.276839427401919,2.5752694664065636,4924266000.0,81153000.0,10771267000.0
GL,evaluated,,True,True,5677652951.187356,3406591770.7124133,345917313.6794637,1419571214.790633,1901143866.795479,,5815075796.00948,,14.489064297735506,9.44685299588714,19.593769451893163,19.77752281488119,11.298623576386968,7.722206881688788,5778069000.0,1070762000.0,5305520000.0
DXCM,evaluated,,True,True,4509264310.261873,1659899243.934291,445411691.5251907,1970716837.1523933,2209944040.5297604,1942648329.4157705,3876866837.1523933,8560831805.819677,46.5964302391655,24.858261602490334,38.57841627637557,28.43064409259165,52.209040013118454,24.628614661405617,4033000000.0,576200000.0,2102600000.0
LNT,evaluated,,True,True,3856534839.4768133,2195936028.537455,757516527.9429251,-240529043.86853468,189219292.90595484,59375505.35077286,6069170664.586276,21283842939.83458,32.167256655607225,9.51290213189535,61.73452771904301,7.825352713843632,11.470166911202176,10.126404409838894,3981000000.0,690000000.0,7004000000.0
SYY,evaluated,,True,True,84875366061.54204,69357046593.62433,12138873186.083105,1293659073.0366106,2410246034.0218377,848753660.6154203,2005440529.990253,24004630881.738953,11.99978686409909,7.525172298569535,11.797521657800129,7.367932342560929,12.141372508508363,9.09171107495148,78844000000.0,1955000000.0,1860000000.0
KVUE,evaluated,,True,True,15954323478.260868,7025728695.652173,6362514782.608695,994234856.3938882,1862599780.2197812,1427666086.9565215,10541234856.393888,28410587218.78548,15.028631044623177,10.892427093750728,12.398479070976352,7.835221480556757,16.869737426175956,12.020909818225027,15455000000.0,1030000000.0,9668000000.0
MCD,evaluated,,True,True,28038781166.422226,12021648045.89768,3098068113.1912694,7077014790.055496,10827755103.179922,5035872875.506859,-3843972582.455432,58788777693.51532,21.53396324746674,7.85333219402188,6.916101864719171,7.498956552990366,31.76646621539004,10.840686264147907,25920000000.0,8223000000.0,-3796000000.0
PPL,evaluated,,True,True,8743273095.418882,5297295874.462162,87432730.95418882,1056138800.0589659,1971447790.4853675,348174133.13085306,14300038270.958437,40586352627.91461,20.24837913998193,3.8768344099349847,32.711577204343044,4.404579557189357,11.524140494929144,3.570300879389691,8462000000.0,888000000.0,14077000000.0
AOS,evaluated,,True,True,3954305612.829324,2430387170.6758304,746564032.0733104,509096442.9677087,697249913.706291,397092885.57199395,1920165513.8204875,3221980879.375393,24.509498711906645,5.00373068627719,9.096103700555224,3.5048508689381683,35.29887521985264,13.801282543566472,3818100000.0,533600000.0,1883500000.0
HPQ,evaluated,,True,True,45869075250.35765,36042549356.223175,6220563185.503099,2165920109.0290565,2754902858.2573113,3876654908.5642104,16546226.525863647,35419412512.14271,48.72626459547452,17.953222377530484,40.06624109760645,15.46831663044727,54.78828104398217,22.6785054323022,53559000000.0,2775000000.0,-1323000000.0
ATO,evaluated,,True,True,4350344572.564142,2255965430.394686,1008514930.2268959,184195844.04762942,399307874.3977834,43503445.72564149,10561972567.492163,23038164723.197544,48.33108714600055,25.101576727009487,41.3522167747066,25.101576727009487,53.21629640590631,29.328439073198584,4165187000.0,1042895000.0,12157669000.0
LYV,evaluated,,True,True,30962029856.058125,23501890996.804558,309620298.56058127,5851270435.085065,6524114357.162356,10763146355.102566,5631897535.085065,25148320879.7119,67.94818856152341,30.241147161546,82.45450232709261,30.241147161546,57.793768925624974,28.5058855214779,23155625000.0,896287000.0,173263000.0
NCLH,evaluated,,True,True,12824886000.0,8202880499.999999,3225638999.9999995,-354395669.7965019,396496760.3618578,603622500.0,-103442069.79650187,22699922794.611546,66.48308923191316,36.197252342093776,71.68630401686957,32.44967110383432,62.84083888244366,43.35997542268484,9479651000.0,910257000.0,1425439000.0
EQIX,evaluated,,True,True,9230806003.029053,4766468952.223599,963890954.1511774,837053185.2898679,1454129806.1793404,,12357053185.289867,,9.726313885296817,7.859324990296615,6.194993229095289,5.504072125189018,12.816219459473158,9.319391164046166,8748000000.0,815000000.0,13528000000.0
STT,evaluated,,True,True,11767672164.948454,7060603298.969072,139891958.76288658,-899105153.1742692,3563294846.825731,,22220125560.59646,,53.063179936445174,19.217343361076434,88.05822134491787,58.76308236473639,23.06743015775428,16.18465782471847,12919000000.0,2687000000.0,25326000000.0
NEE,evaluated,,True,True,37716978240.12216,13600865241.458294,10925769039.893108,1239192997.178599,6224243273.549391,3608830883.756441,42040585811.26107,189794107528.87805,44.74269922410237,34.13488116224278,61.46498805915058,41.504667058762884,33.03709703956859,20.879423028888194,24753000000.0,6946000000.0,50101000000.0
JBHT,evaluated,,True,True,11111132383.107695,9197041328.191666,547857217.443109,328753336.2600728,510603561.5005299,111111323.83107692,4301859330.200348,9449341813.156107,23.331946351413762,13.112520973872273,24.339944319727206,19.16937516555405,22.626347773594347,13.092755128551609,12087204000.0,570886000.0,4014505000.0
CAT,evaluated,,True,True,75673407710.30002,49422431218.13316,11619580661.988655,8652957145.26799,12371176342.316544,7874277348.679892,24196382201.196404,98273002815.67783,13.596267641710169,13.347677828026358,13.397469839840696,15.467285743997754,13.735426103018801,12.637028332203837,64809000000.0,10792000000.0,19491000000.0
CAG,evaluated,,True,True,13065710434.383099,9591170121.100218,2330159892.162727,174700800.46570367,774588531.5980146,130657104.34383094,8431395328.725104,21617479392.33835,20.476140114551413,8.08079129175715,20.11102558313885,8.08079129175715,20.731720286540217,7.380683175380939,12050900000.0,347200000.0,8440400000.0
AMP,evaluated,,True,True,16926372913.452099,10155823748.071259,5532804741.197925,,,,,,6.686951288486634,6.443025125094859,5.266181526753937,5.323023755951426,7.539413145526251,6.887052341597796,17264000000.0,3401000000.0,5228000000.0
FTNT,evaluated,,True,True,6370467478.607326,1485737891.0671437,2408980124.054874,,2343935373.3350577,,,,17.210557489384886,13.996888835476597,13.747519188609852,11.717172129944611,19.189436518399194,13.996888835476597,5955800000.0,1745200000.0,1493800000.0
DFS,failed,Missing financial statements from Yahoo Finance.,False,False,,,,,,,,,,,,,,,,,
UBER,evaluated,,True,True,43601121843.33532,26264059259.026886,5094457947.736612,10579868960.900562,11470182659.794704,,21262768960.900562,,33.505481070365015,10.405874217678535,35.6260933388066,7.084298321598388,31.64994533547863,11.177302891171642,43978000000.0,9856000000.0,21558000000.0
CI,evaluated,,True,True,211618915459.00427,126971349275.40256,42323783091.80086,30770392174.346565,40388283091.80086,,75876476899.88356,,40.94164115210792,14.370559235576373,69.68429696560929,35.64377454622652,22.97748126866955,8.622461311672318,244384000000.0,3434000000.0,41033000000.0
PG,evaluated,,True,True,83866263060.09702,43729988152.69307,21590914637.035927,11233738182.935072,15739933235.69003,8433056181.176498,49066066700.096924,123050113584.74004,6.921158986203143,3.5893407456643907,8.496979364390082,6.814983935276553,5.818084721472284,3.3206754697303786,84039000000.0,14879000000.0,50286000000.0
TFC,evaluated,,True,True,20071120212.28659,12042672127.371954,260637861.11250195,-2707222452.1848135,6707864002.8719015,,56393777547.815186,,44.25247269821146,12.134677986080076,77.79424366100749,28.02006618588127,15.502383301529147,10.72637193058451,13278000000.0,4818000000.0,63679000000.0
